,reviews
41,"
Samsung M34 5G is worth buyingMy usage is need based and am never glued to mobile,Side finger print reader is fast 5/5Display is good 5/5Battery life 70 hours (nearly 3 days) with a single charge 5/5Using fast charger Battery charging time from 30% to 100% is 1hr 10min 5/5Speaker volume is sufficient 4/5Audio quality 3/5Audio quality with 3.5MM earphones is ok 4/5Audio quality with Ear Buds is good 5/5Camera photos is good 5/5Mobile Performance is ok 4/5Overall Rating 4.5/5Conclusion: M34 5G is worth buying and thanks to Amazon for bringingthis nice value for money product
"
42,"
This phone don't have memory card slot separately.. it's like either 2nd Sim or memory card slot..Generally it won't require As this phone gives you sufficient memory.
"
43,"
Battery backup is excellent. Overall phone is Good.
"
44,"
Firstly, thanks for early delivery. A good phone in this price segment.Pros:Fantastic battery life (lasted 1.5days as per my usage)50% battery charges in 45mins. (Full charge takes around 1.5hrs)Awesome display.No lags whatsoever.Camera is goodCons:Ois works only in the default (1080p @30fps but not 4k)In-display fingerprint sensor could have been better option over side mounted one.Travel adaptor is not included in the kit.Back panel attracts lots smudges.Lots of bloatware (can be uninstalled though).Overall, happy with the phone.
"
45,"
Good looking silver color phone with rainbow huesSmooth performanceNice displayThough battery capacity is high, performance is average with protected battery with max 85% charging.Lil bit slow charging, takes more than hour for full charging.
"
46,"
Samsung phones are good. They should provide charger and ear phones along with mobile.
"
47,"
I am not gamer  but why this phone has a heating issue when you stream a vedio and other daily activity ???? Please Samsung walo solve this problem . Afterthat heating issue.... overall phone performance is Okay.
"
48,"
Samsung's monster never disappoint an overall good phone with great features that even 30k phones don't provide. If you are an average user just go for it
"
49,"
Good mobile.but camera is not good.front cam is OK.
"
50,"
The box of the phone was smashed but the phone is doing great.
"
51,"
Camera is average but all things are good
"
52,"
I am just using it. So not know much about usage.
"
53,"
Good
"
54,"
Nice mobile from this price range.I buyed this mobile bcoz1. Samsung2. After sales service3. Normal usageOnly thing i didnt like was not providing charger. Samsung should put option to buy product with charger or w/o charger. Same configuration other mobile company provide charger in this range.Better to choose brand than chineese mobile
"
55,"
It is a sufficient phone for normal users, and has very good Ui. Display is the most interesting part in this product. Build quality is average and back of the phone could have been better other than plastic looking thing.Pros:Display,Ui,Ram,Cons:Heavy weight,Battery drains very quick,Heating issues,Charging is not quick.
"
56,"
Good product
"
57,"
I bought the 6gb variant and overall ok ok phone. Samsung didn’t price it well but created a hype around its capabilitiesBattery lasts a day, camera is good but nothing great, phone is only useful for casual usage and not for gaming. All the features are just average and this phone doesn’t have any smart features that come with galaxy S SeriesI recommend samsung for their 3 year upgrade and 5 year security patches as I feel it is priceless to compromise security.
"
58,"
Heating issue in normal temperatureBattery is enough coolTaking about three hrs to full Charge120hz is enough to functionAudio recover is avaliable without infm otherNo charger givenCamera is decentAudo video calling good enoughNote:- if Heating issue is resolved by next update or by cooling function. In this range phone is enough good.
"
59,"
Good camera,battery
"
60,"
The greatest disadvantage is that it does not have dedicated MSD slot, but a SIM/SD hybrid slot. Most people use dual SIM for which separate MSD Card can't be used. Moreover, this hybrid slot does not seem to be compatible with all MSD cards.I tried several ones, the set suffered hang.Ultimately, I went in for Samsung MSD Card & only then it worked. This is a great disadvantage & negative point for an otherwise good handset.Battery, display, pro cession seems good. Camera seems OK, but not very good. Overall it is a good mid-range set, if one is ready to compromise certain issues/facilities.
"
